Month,Company/Brand,Founded,Headquarters,Sector,Founder/s,Investor/s,Amount ($),Stage
October,mHealth,2020,New Delhi,"Health, Wellness & Fitness","Rajesh Munjal, Balwinder Singh, Monika Garg",India Accelerator,Undisclosed,Seed
October,Rebel Foods,2011,Mumbai,Cloud kitchen,"Jaydeep Barman, Kallol Banerjee.",Qatar Investment Authority,175000000,Series F
October,ProfitWheel,2020,Mumbai,Marketing & Advertising,"Vivek Bhargava, Gautam Mehra, Aman Khanna","Netcore Cloud, Vallabh Bhansali, Jimmy Mahtani",3000000,Seed
October,Log 9 Materials,2014,Bangalore,Nanotechnology,Akshay Singhal,Petronas Ventures,2000000,
October,Chingari,2018,Bangalore,Entertainment,Sumit Ghosh,Solana,19000000,
October,Ishitva,2018,Ahmedabad,Computer Software,Jitesh Dadlani,Inflection Point Ventures,1000000,Pre-Series A
October,Ola Electric,2017,Bangalore,Automotive,Bhavish Aggarwal,"Falcon Edge, Softbank",200000000,
October,leap.club,2014,Gurugram,Community,"Ragini Das, Anand Sinha","Enzia Ventures, Kunal Shah",810000,Pre-Series A
October,F5,2018,New Delhi,Retail,"Raghav Arora, Lalit Aggarwal",Auxano Capital,600000,Pre-Series A
October,ForeignAdmits,2018,Bangalore,Higher Education,"Nikhil Jain, Ashwini Jain",Unicorn India Ventures,400000,Seed
October,SALT,2019,Bangalore,Financial Services,"Ankit Parasher, Udita Pal","Prashant Pansare, Supermorpheus",500000,Pre-seed
October,EarnWealth,2014,Pune,Financial Services,Rajesh P Nair,,500000,Pre-Series A
October,Visit Health,2015,New Delhi,"Health, Wellness & Fitness","Shashvat Tripathi, Anurag Prasad, Vaibhav Singh, Chetan Anand",Docprime Technologies,7500000,
October,Crater.Club,2020,Bangalore,Media,"Vignesh Prasad, Vivan Puri",LC Nueva AIF,700000,Seed
October,NFTically,2021,Gurugram,NFT,Toshendra Sharma,"Nitish Mittersain, Gaurav Munjal",1000000,Seed
October,ReshaMandi,2020,Bangalore,B2B,Utkarsh Apoorva,"9Unicorns, Venture Catalysts, Sandeep Singhal",30000000,Series A
October,Zetwerk,2018,Bangalore,Mechanical Or Industrial Engineering,Amrit Acharya,TradeCred,600000000,
October,Hubilo,2020,Ahmedabad,Software Startup,"Mayank Agarwal, Vaibhav Jain",Alkeon Capital,125000000,Series B
October,M2P Fintech,2015,Chennai,Financial Services,Madhusudanan R,Tiger Global,35000000,Series C
October,Open Financial Technologies,2017,Bangalore,Financial Services,Anish Achuthan,"Temasek, Google, SBI Investment",90000000,Series C
October,Niro,2021,Bangalore,Financial Services,"Aditya Kumar, Sankalp Mathur",Elevar Equity,3500000,Seed
October,Wiingy,2021,Bangalore,E-learning,Asit Biswal,Aroa Ventures,400000,
October,CarDekho,2008,Jaipur,Automotive,"Amit Jain, Anurag Jain",,250000000,Series E
October,Melorra,2015,Bangalore,D2C jewellery,Saroja Yeramili,"9Unicorns, Symphony International Holdings Limited, Value Quest",24000000,
October,AnKa SumMor,2017,Bangalore,Sales and Distribution,"Rajiv Joshi, Ashok George",Inflection Point Ventures,1000000,Pre-Series A
October,Toch.ai,2016,Mumbai,SaaS,"Vinayak Shrivastav, Saket Dandotia, Alok Patil",,11000000,Series A
October,Playto Labs,2021,Bangalore,E-learning,Pavan Ponnaganti,Inflection Point Ventures,500000,Seed
October,Fraazo,2020,Mumbai,Food & Beverages,"Atul Kumar, Aashish Krishnatre",WestBridge Capital,50000000,Series B
October,Arcana,2019,Bangalore,Information Technology & Services,"Mayur Relekar, Aravindh Kumar, Abhishek Chaudhary","Republic Crypto, Woodstock, DCG, Sahil Lavingia",2300000,
October,FloCareer,2018,Bangalore,Information Services,"Mohit Jain, Mehul Bhatt",Data Point Capital,5700000,Series A
October,Nap Chief,2019,Mumbai,Apparel & Fashion,Raghav Gupta,Titan Capital,200000,Seed
October,AcknoLedger,2021,Mumbai,Crypto,Yash Dahenkar,"Momentum 6, Basics Capital, Krypital Capital, Shima Capital, Magnus Capital",1500000,Seed
October,ApplicateAI,2014,Gurugram,Information Technology & Services,"Madhusudan Atmakuri, Ranjeet Kumar",,30000000,Series A
October,VLCC Health Care,1989,Gurugram,"Health, Wellness & Fitness",Vandana Luthra,,4000000,
October,Duroflex,1963,Bangalore,Furniture,P. C. Mathew,Norwest Venture Partners,60000000,
October,Aviom India,2016,Bhilwara,Financial Services,Kajal Ilmi,Sabre Partners,8000000,Series C
October,Onato,2021,Bangalore,Computer Software,"Vedant Katiyar, Ashish Jindal","Vertex Ventures, Omnivore",2200000,
October,Mestastop Solutions,2018,Bangalore,Biotechnology,Dr Arnab Roy Chowdhury,CIIE.CO,100000,
October,SaaS Labs,2016,Noida,SaaS,Gaurav Sharma,"Base 10 Partners, Eight Roads Ventures",17000000,Series A
October,Devnagri,2017,Noida,Translation & Localization,"Nakul Kundra, Himanshu Sharma","enture Catalyst, IPV",600000,Seed
October,CRED,2018,Bangalore,Finance,Kunal Shah,"Tiger Global, Falcon Edge",250000000,Series E
October,ConveGenius,2013,Noida,Education Management,"Jairaj Bhattacharya, Shashank Pandey","BAce Capital, Heritas Capital, 3Lines Venture Capital",5000000,Pre-seed
October,Totality,2017,Gurugram,Entertainment,Anshul Rustaggi,"Leo Capital, Mayfield Fund",1000000,
October,CredAble,2017,Mumbai,Financial Services,Nirav Choksi,"Plutus Wealth, Oaks Asset Management",30000000,Series B
October,MarketWolf,2017,Mumbai,Financial Services,"Vishesh Dhingra, Thomas Joseph","Anil Thadani, Ashutosh Sinha, Roy van Leeuwen",5500000,Seed
October,Wondrlab,2020,Mumbai,Marketing & Advertising,Saurabh Varma,"Pi Ventures LLP, Tanas Capital, Prodapt Holdings",7000000,Pre-series A
October,SUN Mobility,2017,Bangalore,Automotive,Chetan Maini,Vitol,50000000,
October,Tamasha,2020,Mumbai,Entertainment,"Saurabh Gupta, Siddharth Swarnkar",Chiratae Ventures,3000000,Pre-series A
October,Revfin,2017,New Delhi,Financial Services,Sameer Aggarwal,"Ruchirans Jaipuria, Rishi Kajaria",4000000,Pre-series A
October,Yu Foodlabs,2020,Gurugram,Food & Beverages,"Bharat Bhalla, Varun Kapur","Manish Choksi, Varun Vakil",1000000,Pre-series A
October,MergerDomo,2018,New Delhi,Investment Banking,Hormazd Charna,Nadir B Godrej,500000,
October,FarMart,2015,Gurugram,Farming,"Alekh Sanghera, Mehtab Singh Hans",Matrix Partners India,10000000,Series A
October,Questt,2020,Gurugram,EdTech,"Akhil, Mohsin M, Rohit Pande",Celesta Capital,6750000,Series A
October,IDfy,2011,Mumbai,Information Technology & Services,Ashok Hariharan,"TransUnion, Blume Ventures",10000000,Series D
October,ClearDekho,2016,Ghaziabad,Retail,"Saurabh Dayal, Shivi Singh",Aroa Ventures,4000000,Pre-series A
October,BookingJini,2017,Gurugram,Hospitality,"Deepak Dash, Gourab Kumar Nandy, Manoj Pandia, Sibasish Mishra",Mumbai Angels Network,1200000,Pre-series A
October,Sourcewiz,2021,Gurugram,Information Technology & Services,"Divyaanshu Makkar, Vikas, Mayur","Blume, Alpha Wave Incubation",3000000,Seed
October,Tvasta,2016,Chennai,Mechanical Or Industrial Engineering,"Vidyashankar C, Parivarthan Reddy, Adithya Jain",Habitat for Humanity International,400000,
October,Kafqa Academy,2021,Bangalore,E-learning,Shariq Plasticwala,"Global Founders Capital, Enzia Ventures, Better Capital",1300000,Seed
October,Trell,2016,Bangalore,Social commerce,"Pulkit Agrawal, Arun Lodhi, Bimal Kartheek Rebba",Amazon,100000000,
October,Storia,2016,Mumbai,Food & Beverages,Vishal Shah,Sixth Sense Ventures,6000000,Series A
October,Clear,2011,Bangalore,Computer Software,"Archit Gupta, Srivatsan Chari","Kora Capital, Stripe, Alua Capital",75000000,Series C
October,Groww,2016,Bangalore,Finance,"Lalit Keshre, Harsh Jain, Ishan Bansal, Neeraj Singh",Iconiq Growth,250000000,Series E
October,The Indus Valley,2016,Chennai,Consumer Goods,"Jagadeesh Kumar, Madhumitha Udaykumar","Rukam Capital, DSG Consumer Partners, The Chennai Angels",1100000,
October,BharatPe,2018,New Delhi,Financial Services,"Ashneer Grover, Shashvat Nakrani",MAS Financial Services,10000000,
October,Teachmint,2020,Bangalore,E-learning,"Divyansh Bordia, Mihir Gupta","Rocketship.vc, Vulcan Capital",78000000,Series B
October,Porter,2014,Bangalore,Logistics & Supply Chain,"Pranav Goel, Uttam Digga, Vikas Choudhary","Tiger Global, Vitruvian Partners",100000000,Series E
October,O4S,2017,Gurugram,Information Technology & Services,"Divay Kumar, Shreyans Sipani","Think Investments, Venture Highway",6000000,Series A
October,Wobb,2020,Gurugram,Marketing,Ishan Jindal,"Alok Kohli, Sanjeev Bhargava",200000,Pre-seed
October,BASIC Home Loan,2020,Gurugram,Financial Services,"Atul Monga, Kalyan Josyula","Venture Catalysts, Gruhas Proptech",3500000,Series A
October,Siply,2020,Bangalore,Financial Services,"Sousthav Chakrabarty, Anil Bhat","LetsVenture, AngelList India, Founder's Room Circle",3200000,Pre-series A
October,BankSathi,2020,New Delhi,Financial Services,Jitendra Dhaka,"Dinesh Godara, Anuj Ahuja, Aditya",500000,
October,Gramophone,2016,Indore,AgriTech,"Tauseef Khan, Harshit Gupta",Z3Partners,10000000,
October,Healofy,2016,Bangalore,Femtech,"Gaurav Aggarwal, Shubham Maheshwari","Celesta Capital, Omidyar Network India",6000000,Series B
October,E42,2012,Pune,Computer Software,"Animesh Samuel, Sanjeev Menon",Pavestone Ventures,5400000,Series A
October,Spottabl,2017,Bangalore,Human Resources,"Vanishri Deshpande, Satheesh K V, Anupam Choudhari","LetsVenture, Paradigm Shift VC, Binny Bansal",400000,Seed
October,DeHaat,2012,Gurugram,Information Technology & Services,"Amrendra Singh, Shyam Sundar, Adarsh Srivastav, Shashank Kumar","Sofina, Lightrock India, Temasek",115000000,Series D
October,Shumee,2014,Bangalore,Retail,Meeta Sharma Gupta,Dia Mirza,Undisclosed,
October,Zolve,2020,Bangalore,Financial Services,Raghunandan G,DST Global,40000000,Series A
October,Instoried,2018,Bangalore,Computer Software,Sharmin Ali,"Pritt Investment Partners, 9Unicorns",8000000,
October,SportZchain,2021,Mumbai,sports,Siddharth Jaiswal,"Darq Capital, Jagadeesh Atukuri",400000,Pre-seed
October,Hypto,2018,Chennai,Tech startup,"Abhishek Rajagopal, Aravind Sriraman, Tholkappiyan Velavan",Stellaris Venture Partners,3000000,Seed
October,CHUPPS,2016,Mumbai,Foootwear,"Gaurav Agarwal, Yash Mukhi",Venture Catalysts,1100000,Pre-series A
October,Zenduty,2019,Bangalore,Computer Software,"Ankur Rawal, Vishwa Krishnakumar",StartupXseed Ventures,1900000,Pre-series A
October,R for Rabbit,2014,Ahmedabad,Consumer Goods,Kunal Popat,Xponentia Capital Partners,5000000,
October,Acko,2016,Bangalore,Insurance,"Varun Dua, Ruchi Deepak","General Atlantic, Multiples",255000000,Series D
October,LoveLocal,2015,Mumbai,Retail,Akanksha Hazari,Vulcan Capital,18000000,Pre-series B
October,SupplyNote,2015,Noida,Food & Beverages,"Kushang, Abhishek Verma, Nitin Prakash, Harshit Mittal",Venture Catalysts,1200000,Pre-series A
October,Vakilsearch,2010,Chennai,Legal Services,Hrishikesh Datar,InCorp India,10000000,
October,Cloudphysician,2017,Bangalore,Hospital & Health Care,"Dr Dhruv Joshi, Dr Dileep Raman",Elevar Equity,4000000,Pre-series A
October,Wiggles.in,2018,Pune,Veterinary,Anushka Iyer,Anthill Ventures,5500000,Pre-series A
October,Avanti Finance,2017,Bangalore,Financial Services,"Nandan Nilekani, Vijay Kelkar","Oikocredit, Nomura, The Bill & Melinda Gates Foundation",15000000,Series A2
October,Vanity Wagon,2018,New Delhi,Consumer Goods,"Prateek, Naina Ruhail, Sahil Shreshtha",Inflection Point Ventures,700000,Pre-series A
October,Purplle,2012,Mumbai,E-commerce,"Rahul Dash, Manish Taneja",Kedaara,70000000,
October,Wallmantra,2013,Noida,Arts & Crafts,Shivam Agarwal,Velocity,Undisclosed,
September,MFine,2017,Bangalore,Hospital & Health Care,"Prasad Kompalli, Ashutosh Lawania","Moore Strategic Ventures, BEENEXT",48000000,Series C
September,Aquatein,2019,Mumbai,Food & Beverages,"Ananth B Prabhala, Mitisha Mehta",Eaglewings Ventures,Undisclosed,Seed
September,Mentza,2020,Mumbai,E-learning,"Anurag Vaish, Tapasi Mittal, Fareesh Vijayarangam, Anand Parameswaran, Divya Balakrishnan",Inflection Point Ventures,400000,Seed
September,ConnectedH,2018,Gurugram,Hospital & Health Care,"Shubham Gupta, Rahul Kumar, Suresh Singh","Kalaari Capital, Incubate Fund India",2300000,Seed
September,CredAvenue,2017,Chennai,FinTech,Gaurav Kumar,"Sequoia Capital, Lightspeed, TVS Capital Funds",90000000,Series A
September,Vedantu,2011,Bangalore,E-learning,"Vamsi Krishna, Pulkit Jain, Saurabh Saxena, Anand Prakash",ABC World Asia,100000000,Series E
September,Exotel,2011,Bangalore,Telecommunications,"Shivakumar Ganesan, Ishwar Sridharan, Siddharth Ramesh, Vijay Sharma","IIFL AMC, Sistema Asia Fund, CX Partners, Singularity Growth Opportunities Fund",35000000,Series C
September,Fantasy Akhada,2020,Gurugram,sports,"Amit Purohit, Sumit Kumar Jha",Prime Securities Limited,2000000,Series A
September,Meesho,2015,Bangalore,Social commerce,"Sanjeev Barnwal, Vidit Aatrey","Fidelity, B Capital",570000000,
September,PumPumPum,2018,Gurugram,Automotive,Tarun Lawadia,LC Nueva AIF,Undisclosed,
September,Cusmat,2016,Hyderabad,Computer Software,"Abhinav Ayan, Anirban Jyoti Chakravorty",We Founder Circle,100000,Pre-series A
September,Homeville,2017,Mumbai,Information Technology & Services,Madhusudan Sharma,"9Unicorns, Varanium NexGen Fund",7000000,
September,Coinshift,2021,Chandigarh,Blockchain,Tarun Gupta,"Sequoia Capital, Sandeep Nailwal",2500000,Seed
September,Strip Finance,2021,Hyderabad,Financial Services,"Varun Satyam, Yuvraj Chhibber, Yash Jejani","Old Fashion Research, Nothing Research, Tenzor capital",400000,Seed
September,Ola Electric,2017,Bangalore,Automotive,Bhavish Aggarwal,"Falcon Edge, Softbank",200000000,
September,Kolo,2020,Bangalore,Construction,"Pranav Garg, Jery Althaf",Better Capital,550000,Pre-seed
September,Chqbook,2017,Gurugram,FinTech,"Vipul Sharma, Rajat Kumar, Sachin Arora","Aavishkaar Capital, Rajiv Dadlani Group",5000000,Pre-series B
September,My3DSelfie,2016,Guwahati,Arts & Crafts,Harsha P Deka,"NEVF, AccelNest",Undisclosed,Pre-series A
September,EV Plugs,2021,Gurugram,Information Technology & Services,"Manish Narang, Kapil Narang, Ashwani Arora",,150000,
September,Rulezero,2019,Bangalore,Financial Services,"Satish Mugulavalli, Srinivas Katta",The Treasury,2500000,Seed
September,CredRight,2016,Hyderabad,Financial Services,Neeraj Bansal,"9Unicorns, Spearhead Capital, Venture Catalysts",2700000,
September,Karbon Card,2019,Bangalore,FinTech,"Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha","Ramp, Rainfall Ventures, Roka Works, Y Combinator",12000000,Pre-series A
September,Auntie Fung,2015,Bangalore,Food & Beverages,"Satrajit Das, Subhradeep Bhowmik",India Angel Network,400000,
September,ePayLater,2015,Mumbai,Financial Services,"Aurko Bhattacharya, Akshat Saxena","Responsibility, Blue Ashva Capital, Pravega Ventures",10000000,Series B
September,Fittr,2016,Pune,"Health, Wellness & Fitness","Rohit Chattopadhyay, Jitendra Chouksey, Suniel Shetty, Sonal Singh, Bala Dabbedi","Dream Capital, Elysian Park Ventures",11000000,Series A
September,Medikabazaar,2014,Mumbai,Healthtech,"Vivek Tiwari, Ketan Malkan","CDC Group, Creaegis",75000000,Series C
September,Nimble Growth Organics,2016,Bangalore,Farming,"Rahul Saria, Nagendra Kalkuli, Abhisek Bhagchandka, Pradeep Kumar ML",,Undisclosed,Seed
September,Delhivery,2011,Gurugram,Logistics & Supply Chain,Sahil Barua,"Lee Fixel’s venture capital firm, Addition",125000000,
September,Akudo,2020,Bangalore,Financial Services,"Lavika Aggarwal, Sajal Khanna, Jgaveer Gandhi","Y Combinator, JAFCO Asia, Incubate Fund India, marquee angels",4200000,Seed
September,Sanctum Wealth,2016,Mumbai,Investment Management,Shiv Gupta,The Xander Group,10000000,
September,88academics,2018,New Delhi,Education,Anil Ahuja,Aarin Capital,3000000,Pre-series A
September,Upgame,2017,Gurugram,sports,Sameer Sawhney,"James Milner, Adam Lallana",Undisclosed,
September,Sanfe,2018,New Delhi,"Health, Wellness & Fitness","Archit Aggarwal, Harry Sehrawat","LetsVenture, Ajay Garg, Tarun Sharma",1000000,Series A
September,PredictiVu,2020,Gurugram,Management Consulting,,Kunal Sarkar,1500000,Pre-seed
September,Sterling Accuris Wellness,2016,Ahmedabad,Hospital & Health Care,Girish Patel,Morgan Stanley Private Equity Asia,30000000,
September,Bijnis,2015,New Delhi,B2B startup,"Siddharth, Chaitanya Rathi, Siddharth Rastogi, Shubham Agarwal",Westbridge Capital,30000000,Series B
September,Capital Float,2013,Bangalore,Financial Services,"Sashank Rishyasringa, Gaurav Hinduja",Lightrock India,50000000,
September,Manch Technologies,2017,Bangalore,Information Technology & Services,Suresh Anantpurkar,Bharat Inclusion,1000000,Pre-series A
September,Sochcast,2020,Online Media #REF!,Sochcast is an Audio experiences company that give the listener and creators an Immersive Audio experience,"Vinners, Raj Nayak, Amritaanshu Agrawal",Undisclosed,,
September,Glamyo Health,2019,New Delhi,Hospital & Health Care,"Archit Garg, Dr Preet Pal Thakur",Ananta Capital,3000000,Series A
September,CashBook,2020,Gurugram,FinTech,"Vivek, Ashutosh Pathak","JAM, Better Tomorrow Ventures",2300000,Seed
September,The Money Club,2016,Noida,Financial Services,"Manuraj Jain, Surajit Ra","SOSV, Venture Catalysts",1700000,Pre-series A
September,SuperZop,2016,Mumbai,Retail,"Raghuveer Allada, Prithwi Singh, Darshan Krishnamurthy",Incofin’s India Progress Fund,4000000,Series A
September,Zypp Electric,2017,Gurugram,Logistics & Supply Chain,"Akash Gupta, Rashi Agarwal","9Unicorns, Anthill Ventures",7000000,Series A
September,Alpha Coach,2021,Mumbai,Professional Training & Coaching,Ketan Mavinkurve,Jani Ventures INC,1200000,
September,VRO Hospitality,2018,Bangalore,Hospitality,"Safdhar Adoor, Sharath Rice, Dawn Thomas",CreedCap Asia Advisors,3000000,Series A
September,byteXL,2019,Hyderabad,E-learning,"Sricharan Tadepalli, Karun Tadepalli",Joseph Joy,200000,
September,Leena AI,2015,Gurugram,Computer Software,"Mayank Goyal, Anand Prajapati",Bessemer Venture Partners,30000000,Series B
September,CARS24,2015,Gurugram,Automotive,"Mehul Agrawal, Vikram Chopra","DST Global, Falcon Edge, SoftBank Vision Fund 2",450000000,Series F
September,Klub,2019,Bangalore,Financial Services,"Anurakt Jain, Ishita Verma",Trifecta Capital,2000000,Debt
September,Bluepad,2020,Bangalore,Online Media,"Sanjyot Bhosale, Devakrishna Asokar, Kishore Garimella","Titan Capital, AngelList's syndicate",200000,Pre-seed
September,FloBiz,2019,Bangalore,Information Technology & Services,"Rahul Raj, Aditya Naik, Rakesh Yadav",Sequoia Capital India,31000000,Series B
September,Tummoc,2016,Bangalore,Mobility,"Hiranmay Mallick, Monalisha Thakur, Narayan Mishra","Vineet Singh, Krishna D, Deependra Bisht, Alan Aim",540000,Seed
September,Design Cafe,2015,Bangalore,Design,"Shezan Bhojani, Gita Ramanan","Westbridge Capital, Sixth Sense Ventures",25000000,
September,PayCardo,2021,Pune,Financial Services,"Vivek Kumar Choubey, Vivek Kumar",MaGEHold,Undisclosed,Pre-seed
September,Aerchain,2019,Bangalore,Computer Software,"Harsha Kadimisetty, Himavanth Jasti","Season Two Ventures, IndiaMart",3000000,Pre-series A
September,Expertrons,2019,Mumbai,E-learning,"Jatin Solanki, Vivek Gupta","Kunal Shah, Anant Maheshwari",Undisclosed,
September,CuriousJr,2020,Gurugram,E-learning,"Amit Shekhar, Janishar Ali, Mridul Ranjan Sahu","WaterBridge Ventures, Enzia Ventures",1000000,Seed
September,Wow! Momo,2008,Kolkata,Food & Beverages,"Binod Homagai, Sagar Daryani, Shah Miftaur Rahman",Tree Line Investment Management,15000000,Series C
September,Supertails,2021,Bangalore,Consumer Services,"Vineet Khanna, Varun Sadana, Aman Tekriwal",Alteria Capital,700000,
September,LifeCell,2004,Chennai,Biotechnology,S. Abhaya Kumar,Orbimed Asia Partners,30000000,
September,ZestMoney,2015,Bangalore,Financial Services,"Priya Sharma, Lizzie Chapman",Zip Co,50000000,Series C
September,FrontRow,2020,Bangalore,E-learning,"Shubhadit Sharma, Mikhil Raj, Ishaan Preet Singh","Eight Roads Ventures, GSV",14000000,Series A
September,HappyCredit,2020,Bangalore,FinTech,"Jitendra Kumar, Ashish Virmani","Kunal Shah, Krishna Kumar",600000,Pre-seed
September,Endimension,2018,Mumbai,Healtcare,"Bharadwaj Kss, Apparao MLV, Kurien Zacharia",Inflection Point Ventures,300000,Seed
September,Frenzi,2020,Mumbai,Online Media,"Balkrishna Singh, Harvinderjit Singh Bhatia",SucSEED Indovation Fund,Undisclosed,Seed
September,Leverage Edu,2017,New Delhi,Higher Education,Akshay Chaturvedi,"Vijay Shekhar Sharma, Rohit Kapoor, Amanpreet Bajaj, Lalit Singh",Undisclosed,
September,BeepKart,2020,Bangalore,Automotive,"Hemir Doshi, Abhishek Saraf","Stellaris Venture Partners, Chiratae Ventures",3000000,Seed
September,Lio,2020,Pune,Computer Software,Anupam Vijayvergia,"Lightspeed, Sequioa",5000000,Seed
September,TravClan,2018,New Delhi,B2B Travel,"Arun Bagaria, Ashish Thapliyal",TheVentures,2200000,Pre-series A
September,WickedGud,2021,Mumbai,Food & Beverages,Bhuman Dani,"Titan Capital, Archana Priyadarshini, Gaurav Ahuja",340000,Pre-seed
September,Enercomp,2013,Ahmedabad,Information Technology & Services,SURESH SHAHDADPURI,ah! Ventures,200000,
September,BetterPlace,2014,Bangalore,Information Technology & Services,Pravin Agarwala,"Jungle Ventures, CX Partners",24000000,Series C
September,Medpho,2021,Noida,Hospital & Health Care,Shashank Saini,"Cygnus Medicare Group, Probal Ghoshal, Shuchin Bajaj",1000000,
September,LivQuik Technology,2012,Mumbai,Financial Services,Mohit Lalvani,M2P Fintech,4000000,
September,EventBeep,2019,Pune,EdTech,"Saurabh Mangrulkar, Rakhi Pal, Venkatesh Prasad","SucSEED Indovation Fund, Uincept, Palimala Ventures",,
September,GTM Buddy,2020,Hyderabad,Computer Software,"Sreedhar Peddineni, Santa Thounaojam, Sundar Vellaichamy, Chandramani Tiwary",Stellaris Venture Partners,2000000,Seed
September,Gobbly,2019,Gurugram,Retail,"Ankur Agarwal, Amit Ahuja","Anicut Angel Fund, Sauce.VC",900000,Pre-series A
September,HexaHealth,2019,Mumbai,Healthtech,"Vikas Chauhan, Ankur Gigras, Dr Aman Priya Khanna","Omidyar Network India, Chiratae Ventures",4500000,Seed
September,Eupheus Learning,2017,New Delhi,E-learning,"Sarvesh Shrivastava, Ved Prakash Khatri, Amit Kapoor",Lightrock India,10000000,Series C
September,Easiloan,2020,Mumbai,FinTech,"Pramod Kathuria, Vishal Dawda",Tomorrow Capital,1000000,
September,Anar,2019,Mumbai,Information Technology & Services,"Nishank Jain, Sanjay Bhat","Elevation Capital, Accel India",6200000,Seed
September,Shadez,2019,Mumbai,Consumer Services,"Adarsh Anand, Amit Tiwari",Inflection Point Ventures,200000,Pre-series A
September,Vahan,2016,Bangalore,Information Technology & Services,Madhav Krishna,Khosla Ventures,8000000,Series A
September,MPL,2018,Bangalore,Sports,"Sai Srinivas Kiran GV, Shubh Malhotra",Legatum Capital,,Series E
September,Tinkerly,2015,Jaipur,EdTech,"O.P. Godara, Vivek Pathak, Kapil Arya, Sharad Bansal",Navneet Education,800000,
September,Godamwale,2016,Mumbai,Logistics & Supply Chain,"Basant Kumar, Vivek Tiwari, Ranbir Nandan",1000000 #REF!,Seed,
September,Artium Academy,2021,Mumbai,Music,"Ashish Joshi, Nithya Sudhir","Sonu Nigam, Whiteboard Capital",750000,Seed
September,Awon GameZ,2020,Noida,Gaming,Amardeep Bajpai,Aditya Duggar,2000000,Seed
September,Ayu Health,2019,Bangalore,"Health, Wellness & Fitness","Himesh Joshi, Arijit Gupta, Karan Gupta","Vertex Ventures, Stellaris Venture Partners",6300000,Series A
September,Apna,2019,Bangalore,Recruitment,Nirmit Parikh,Tiger Global,100000000,Series C
September,BharatAgri,2017,Bangalore,AgriTech,"Sai Gole, Siddharth Dialani","Omnivore, India Quotient",6500000,Series A
September,Flatheads,2018,Bangalore,Apparel & Fashion,"Utkarsh Biradar, Ganesh Balakrishnan","We Founder Circle, Dexter Angels",1000000,Pre-series A
September,Boutique Spirit Brands,2016,New Delhi,Wine & Spirits,Rahul Gagerna,"IIFL﻿, ﻿Anicut Angel Fund﻿, ﻿Kae Capital﻿, TradeCred",10000000,
September,eShipz,2019,Bangalore,SaaS startup,"Shashi S Tripathi, Shivadeep Mahadi, Ajaykumar R","Indian Angel Network, Axilor",700000,
September,Pine Labs,1998,Noida,Information Technology & Services,Amrish Rau,Invesco Developing Markets Fund,100000000,
September,Paytail,2020,New Delhi,Financial Services,"AMIT CHATURVEDI, Vikas Garg",Cholamandalam,1500000,Seed
September,4Fin,2021,Pune,Financial Services,"Amit Tewary, Ajit Sinha",Curesense Therapeutics,1100000,Pre-seed
September,Atomberg Technologies,2012,Mumbai,Consumer Electronics,"Manoj Meena, Sibabrata Das",Ka Enterprises,Undisclosed,
September,Genext Students,2013,Mumbai,EdTech,"Ali Asgar Kagzi, Piyush Dhanuka",Navneet Education,Undisclosed,
September,immunitoAI,2020,Bangalore,Biotechnology,"Aridni Shah, Trisha Chatterjee",pi Ventures,1000000,Seed
September,GameEon Studios,2013,Mumbai,Computer Games,Nikhil Malankar,Mumbai Angels Network,320000,
September,Farmers Fresh Zone,2015,Kochi,AgriTech,Pradeep PS,"IAN Fund, Malabar Angel Network, Native Angel Network",800000,Pre-series A
September,Anveshan,2019,Bangalore,Food Production,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa","DSG Consumer Partners, Titan Capital",500000,Seed
September,OckyPocky,2015,Gurugram,EdTech,Amit Agrawal,"Sujeet Kumar, SucSEED Indovation Fund",Undisclosed,Seed
September,Coutloot,2016,Mumbai,Consumer Services,"Mahima Kaul, Jasmeet Thind","Ameba Capital, 9Unicorns",8000000,Pre-series
September,Nova Benefits,2020,Bangalore,"Health, Wellness & Fitness","Saransh Garg, Yash Gupta","Susquehanna International Group, Bessemer Venture Partners",10000000,Series A
September,HomeLane,2014,Bangalore,Interior Design,Srikanth Iyer,"IIFL AMC, Oman India Joint Investment Fund",50000000,Series E
September,Lido Learning,2019,Mumbai,E-learning,Sahil Sheth,Unilazer Ventures,10000000,
September,Jar,2021,Bangalore,FinTech,"Nishchay AG, Misbah Ashraf","Tribe Capital, Arkam Ventures, WEH, Kunal Shah",4500000,Pre-series A
September,Peppermint,2019,Pune,Industrial Automation,"Runal Dahiwade, Miraj C Vora","Venture Catalysts, Indian Angel Network",600000,
September,moneyHOP,2018,London,Financial Services,Mayank Goyal,,1200000,Seed
September,Codingal,2020,Bangalore,EdTech,"Vivek Prakash, Satyam Baranwal",,1200000,Seed
September,Skit,2016,Bangalore,AI startup,"Sourabh Gupta, Akshay Deshraj",WestBridge Capital,23000000,Series B
September,Peak,2014,Information Technology & Services,"Manchester, Greater Manchester",Atul Sharma,SoftBank Vision Fund 2,75000000,Series C
September,REVOS,2017,Bangalore,Automotive,"Mohit Yadav, Jyotrian Jan Harichandran",,4000000,Series A
