Month,Company/Brand,Founded,Headquarters,Sector,Founder/s,Investor/s,Amount ($),Stage
December,Pristyn Care,2018,Gurugram,Hospital & Health Care,"Harsimarbir (Harsh) Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Kunal Shah, Deepinder Goyal, Abhiraj Singh Bhal",96000000,Series E
December,Plix,2018,Mumbai,"Health, Wellness & Fitness","Rishubh Satiya, Akash Zaveri","Guild Capital, RPSG Capital Ventures",5000000,Series A
December,Uni Cards,2020,Bangalore,Financial Services,"Nitin Gupta, Prateek Jindal, Laxmikant Vyas","General Catalyst, Eight Roads Ventures, Elevation Capital",70000000,Series A
December,Practically,2018,Hyderabad,E-learning,"Subbarao Siddabattula, Charu Noheria, Ilangovel Thulasimani","NB Ventures, Earlsfield Capital",5000000,
December,Nestasia,2018,Kolkata,Retail,"Aditi Murarka Agrawal, Anurag Agrawal","Varun Alagh, Sahil Barua",4000000,Series A
December,Vedic Cosmeceuticals,2002,Noida,Cosmetics,Mohit Goel,Sixth Sense Ventures,32000000,Series A
December,Juspay,2012,Bangalore,FinTech,"Vimal Kumar, Ramanathan RV",SoftBank Vision Fund 2,60000000,Series C
December,TranZact,2017,Mumbai,Information Technology & Services,"Ritesh Kumar, Sharad Sen Sharma, Rohan Sen Sharma","Tribe Capital, Prime Venture Partners",7000000,Series A
December,Atomberg,2012,Mumbai,Consumer Electronics,"Manoj, Sibabrata Das",Jungle Ventures,20000000,
December,Ola,2010,Bangalore,Mobility,Bhavish Aggarwal,Marquee international institutional investors,500000000,
December,Mohalla Tech,2015,Bangalore,Social media,"Ankush Sachdeva, Bhanu Pratap Singh",Alkeon Capital,266000000,Series G
December,Stack,2020,Bangalore,Financial Services,"Smriti Tomar, Tushar Vyas","Y Combinator, Harvard Management",4500000,Seed
December,PropReturns,2020,Mumbai,Real Estate,"Jayant Panwar, Kenish Shah","Y Combinator﻿, ﻿Goodwater Capital",1200000,
December,WeSkill,2020,Gurugram,E-learning,"Shaurya Joshi, Shashank Patidar, Praneet Agarwal","Shrishti Sahu, Umang Vohra",4000000,Pre-seed
December,Fitpage,2020,Mumbai,"Health, Wellness & Fitness",Vikas Singh,"Astra Ventures, Gaurav Jaitly",300000,
December,ShopMyLooks,2021,Noida,Digital platform,Rohit Jaiswal,"Capital A, Collective Artists Network",200000,
December,ByteLearn,2021,Noida,E-learning,,"Aditya Singhal, Nishant Sinha",9500000,Seed
December,Dista,2017,Pune,Computer Software,"Nishant Kumar, Shishir Gokhale, Deepak Garg",Pentathlon Ventures,1200000,Seed
December,OfBusiness,2015,Gurugram,Financial Services,"Ruchi Kalra, Asish Mohapatra","Alpha Wave Ventures II, Tiger Global Management, SoftBank Vision Fund II",325000000,
